Time,Source,Destination,Protocol,Length,Original_Protocol,Predicted_Protocol,Max_Probability
17.113736,-1,-1,TCP,54,TCP,TCP,0.97
17.115548,-1,-1,TCP,54,TCP,TCP,0.97
17.119649,-1,-1,TCP,54,TCP,TCP,0.97
17.119727,-1,-1,TCP,54,TCP,TCP,0.97
17.119761,-1,-1,TCP,54,TCP,TCP,0.97
17.121889,-1,-1,TCP,54,TCP,TCP,0.97
17.121943,-1,-1,TCP,54,TCP,TCP,0.97
17.122318,-1,-1,TCP,54,TCP,TCP,0.97
17.122365,-1,-1,TCP,54,TCP,TCP,0.97
17.123149,-1,-1,TCP,54,TCP,TCP,0.97
17.124416,-1,-1,TCP,54,TCP,TCP,0.97
17.124913,-1,-1,TCP,54,TCP,TCP,0.97
17.12602,-1,-1,TCP,54,TCP,TCP,0.97
17.130618,-1,-1,TCP,54,TCP,TCP,0.97
17.136987,-1,-1,TCP,54,TCP,TCP,0.97
17.137187,-1,-1,TCP,54,TCP,TCP,0.97
17.145055,-1,-1,TCP,54,TCP,TCP,0.97
17.150683,-1,-1,TCP,54,TCP,TCP,0.97
17.151142,-1,-1,TCP,54,TCP,TCP,0.97
17.153237,-1,-1,TCP,54,TCP,TCP,0.97
17.165555,-1,-1,TCP,54,TCP,TCP,0.97
17.175679,-1,-1,TCP,54,TCP,TCP,0.97
17.193912,-1,-1,TCP,54,TCP,TCP,0.97
17.970414,-1,-1,TCP,54,TCP,TCP,0.96
17.970538,-1,-1,TCP,54,TCP,TCP,0.96
17.970572,-1,-1,TCP,54,TCP,TCP,0.96
17.970599,-1,-1,TCP,54,TCP,TCP,0.96
17.970628,-1,-1,TCP,54,TCP,TCP,0.96
17.970663,-1,-1,TCP,54,TCP,TCP,0.96
17.970693,-1,-1,TCP,54,TCP,TCP,0.96
17.970723,-1,-1,TCP,54,TCP,TCP,0.96
17.970797,-1,-1,TCP,54,TCP,TCP,0.96
17.970831,-1,-1,TCP,54,TCP,TCP,0.96
17.970899,-1,-1,TCP,54,TCP,TCP,0.96
17.970933,-1,-1,TCP,54,TCP,TCP,0.96
17.970969,-1,-1,TCP,54,TCP,TCP,0.96
19.245614,-1,-1,QUIC,64,QUIC,TCP,0.82
19.274733,-1,-1,QUIC,64,QUIC,TCP,0.82
20.341307,-1,-1,TCP,55,TCP,TCP,0.97
20.35232,-1,-1,TCP,66,TCP,TCP,0.84
20.372199,-1,-1,TCP,54,TCP,TCP,0.97
20.372305,-1,-1,TCP,54,TCP,TCP,0.97
20.372328,-1,-1,TCP,54,TCP,TCP,0.97
20.372356,-1,-1,TCP,54,TCP,TCP,0.97
20.372381,-1,-1,TCP,54,TCP,TCP,0.97
20.372405,-1,-1,TCP,54,TCP,TCP,0.97
20.372429,-1,-1,TCP,54,TCP,TCP,0.97
20.372453,-1,-1,TCP,54,TCP,TCP,0.97
20.37248,-1,-1,TCP,54,TCP,TCP,0.97
20.372504,-1,-1,TCP,54,TCP,TCP,0.97
20.372526,-1,-1,TCP,54,TCP,TCP,0.97
20.372551,-1,-1,TCP,54,TCP,TCP,0.97
20.372574,-1,-1,TCP,54,TCP,TCP,0.97
23.573177,-1,-1,TCP,1197,TCP,TLSv1.3,0.8
23.58586,-1,-1,TCP,54,TCP,TCP,0.95
23.86014,-1,-1,TCP,93,TCP,TLSv1.3,0.91
23.909564,-1,-1,TCP,54,TCP,TCP,0.95
25.182371,-1,-1,TCP,54,TCP,TCP,0.96
25.182475,-1,-1,TCP,54,TCP,TCP,0.96
25.182501,-1,-1,TCP,54,TCP,TCP,0.96
25.182525,-1,-1,TCP,54,TCP,TCP,0.96
25.182548,-1,-1,TCP,54,TCP,TCP,0.96
25.182571,-1,-1,TCP,54,TCP,TCP,0.96
25.182594,-1,-1,TCP,54,TCP,TCP,0.96
25.182618,-1,-1,TCP,54,TCP,TCP,0.96
25.182642,-1,-1,TCP,54,TCP,TCP,0.96
25.182665,-1,-1,TCP,54,TCP,TCP,0.96
25.182688,-1,-1,TCP,54,TCP,TCP,0.96
25.182711,-1,-1,TCP,54,TCP,TCP,0.96
25.182736,-1,-1,TCP,54,TCP,TCP,0.96
25.731915,-1,-1,TCP,54,TCP,TCP,0.96
25.734259,-1,-1,UDP,127,UDP,TLSv1.3,0.93
25.743862,-1,-1,TCP,54,TCP,TCP,0.96
25.746059,-1,-1,UDP,539,UDP,TLSv1.3,0.91
25.907912,-1,-1,UDP,200,UDP,TLSv1.3,0.95
25.938892,-1,-1,QUIC,121,QUIC,TLSv1.3,0.92
25.939488,-1,-1,QUIC,570,QUIC,TLSv1.3,0.9
